siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NH02,NA1561OW,"1979-10-30 14:00","1979-11-06 14:00",197911,4.540,16.500," ",.040," ",.016,<,.004," ",.316,<,.020," ",.980," ",.160," ",1.450,0,-9,1445.500,21.840,21.840,"w ","            ",1985-05-17
NH02,NA1591OW,"1979-11-06 14:00","1979-11-13 13:20",197911,4.080,55.000," ",.090," ",.020," ",.015," ",3.762," ",.300," ",4.050," ",.600," ",8.150,0,-9,561.000,8.380,8.380,"w ","            ",1985-05-17
NH02,NA1628OW,"1979-11-13 13:20","1979-11-20 14:30",197911,4.420,24.000," ",.380," ",.118," ",.024," ",.288," ",.210," ",4.300," ",.120," ",1.950,0,-9,212.000,4.320,4.320,"w ","            ",1985-05-17
NH02,NA1654OW,"1979-11-20 14:30","1979-11-27 14:10",197911,4.330,24.200," ",.030," ",.032," ",.015," ",.331," ",.150," ",1.450," ",.400," ",1.300,0,-9,4674.000,68.330,68.330,"w ","            ",1985-05-17
NH02,NA1688OW,"1979-11-27 14:10","1979-12-04 13:45",197911,-9.000,-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
NH02,NA1735OW,"1979-12-04 13:45","1979-12-11 14:15",197912,4.530,30.400," ",.190," ",.027," ",.019," ",2.752," ",.030," ",2.800," ",.300," ",4.200,0,-9,454.300,10.160,10.160,"w ","            ",1985-05-17
NH02,NA1763OW,"1979-12-11 14:15","1979-12-18 14:05",197912,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,549.100,16.260,16.260,"  ","x           ",1985-12-31
NH02,NA1832OW,"1979-12-18 21:45","1979-12-26 13:30",197912,-9.000,-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,2756.900,39.880,39.880,"  ","b           ",1986-01-09
NH02,NA1845OW,"1979-12-26 13:30","1980-01-02 15:00",197912,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,10.200,.760,.760,"  ","vb          ",1986-05-21
NH02,NA1883OW,"1980-01-02 15:00","1980-01-08 14:45",198001,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,346.100,6.350,6.350,"  ","b           ",1986-01-09
